20000 50000
12951 5464 79
8361 175 27
19354 11717 15
19781 2980 52
11825 3331 83
15834 6598 19
19855 13377 40
2676 12639 35
6661 14268 45
5872 11941 85
6015 7431 91
2304 12410 44
7470 19711 59
1021 14997 2
5073 3126 26
4812 685 28
16369 9829 81
5542 9550 39
11317 2253 80
7223 10999 100
19803 8728 76
17555 9712 27
18768 854 32
1242 2830 2
6350 7274 75
1040 18411 35
10471 2477 39
1670 18716 64
62 10072 44
2020 17326 59
15015 18764 9
19539 6920 53
14124 8827 5
4656 3786 58
12949 16797 48
2617 4245 13
12914 15201 51
11778 8804 74
19698 17027 29
19623 9746 90
8563 19577 62
16667 12967 55
17089 18574 77
18293 6744 64
12917 13132 10
9351 7574 10
9244 15757 97
11219 19879 34
7838 366 31
3629 5998 90
17285 1322 42
10422 18408 69
6430 1654 76
10451 2379 98
17921 11271 95
598 15406 86
13583 1530 66
10175 14567 82
7638 10425 42
5898 2235 94
18267 2821 16
18774 9251 20
16708 10394 4
5958 19671 32
4873 12623 47
18184 89 52
6062 6635 46
8355 7094 73
17995 1141 74
11805 5354 84
5485 3159 19
8952 2709 68
14925 14698 75
15185 19804 49
1454 7509 51
3804 18217 43
8985 14980 85
9850 19246 91
9326 10461 78
18396 13109 21
11091 4376 78
14384 15486 26
8549 5640 96
6626 3705 25
5543 13481 89
9398 2682 37
5068 787 16
19589 11511 44
8956 13375 58
19843 6993 63
1866 11917 61
17033 5696 79
745 4311 47
9651 1639 68
9524 19252 55
15472 5928 35
12632 15714 24
18257 17039 58
5457 2247 3
1485 8691 22
16798 9669 5
19454 3226 81
13427 13542 45
14540 18286 61
10442 4109 24
13768 11495 79
10620 6046 83
6623 12423 45
15392 15344 88
12180 573 2
616 14981 78
10107 14753 60
7408 4908 61
9867 7195 55
3833 6554 70
17278 15018 44
7074 17657 22
4172 6618 65
772 4084 85
9636 7651 50
19982 10991 15
260 5546 89
4216 2690 81
6754 5151 84
19471 19405 84
15355 1446 18
7048 2565 71
4038 14089 84
14138 5182 27
12072 11518 34
2946 19474 32
11951 3212 24
11355 14066 95
13271 13898 63
2488 19319 47
7931 3661 64
9142 18238 69
2371 8072 98
12350 2911 22
4880 16253 40
12782 16726 28
4255 14422 68
17654 19254 85
15443 8948 82
13280 16857 4
6046 3965 6
15148 333 34
5068 12847 32
8747 11967 54
7836 12776 85
2754 16258 27
18770 16305 16
7352 1278 58
6427 5892 28
18380 8689 86
16930 8085 72
13838 15097 48
16288 8871 96
7162 5968 56
9022 3871 48
12804 11571 83
7626 9547 23
19545 15471 10
3535 12055 66
10744 17783 80
11034 13558 36
10172 4532 28
16599 8837 16
2073 10169 76
10427 14717 75
7492 6763 88
12033 11469 69
18709 10216 9
5346 17285 58
10917 12417 65
3479 2291 28
17165 4781 56
3632 13253 34
7230 9863 11
7289 8154 59
2670 6554 76
9377 19375 10
15272 11543 36
10014 14810 72
18684 10846 65
4594 18507 13
18523 2791 19
13972 15319 4
5753 19975 93
5985 14418 45
13785 1677 41
17268 17260 36
1976 4290 44
18790 7533 28
12477 6166 97
5485 10381 98
10298 19769 92
16114 13760 3
6426 17085 45
14902 14955 68
14203 16963 37
7915 14780 45
4117 7085 54
4976 2590 97
18289 2814 20
2214 13763 64
15116 3774 5
12919 8620 20
9952 19085 93
15053 10889 46
277 10655 93
1150 17793 13
19635 18686 15
4433 7687 33
3273 16743 57
4935 16789 81
19933 6959 65
5404 8269 78
11522 1770 84
12748 11136 82
14202 18905 7
17497 7689 52
13664 17781 69
19631 5761 50
13805 1140 52
14986 2757 82
6179 4379 13
12840 6553 27
15399 16471 96
19062 1644 3
8681 17380 60
12525 19973 76
16945 16646 27
11830 1735 41
1448 13577 10
12909 15739 29
5973 10612 18
9226 12845 77
15362 13715 32
15702 14275 83
6699 5940 89
4147 6975 5
816 1244 67
10681 10240 34
12569 15722 14
14053 6508 81
11008 7338 94
13274 14859 10
8837 347 90
13633 18912 18
16576 5173 98
3342 11840 99
511 3791 50
1116 3815 93
4210 11653 20
7625 17833 2
15281 3450 9
18997 12094 5
1333 12335 76
9347 7425 14
15913 13404 57
7367 3144 31
15200 2425 75
7615 8978 39
10326 15200 78
17712 12857 51
997 19376 38
16505 15450 89
4260 10280 7
6613 8485 20
15584 7276 29
14993 14182 11
17084 12422 27
15198 1932 61
5083 18376 59
8197 7307 60
16244 14137 26
5966 8094 32
15612 6535 45
3664 10334 12
5572 9814 97
13714 2913 60
19376 16083 86
15488 11248 83
11288 3553 24
10120 906 47
14300 3622 98
11276 9842 67
10666 9413 90
11821 19769 19
15500 8468 31
8308 6050 20
7971 8000 20
15570 19720 10
16442 14410 87
17422 6772 71
5399 4081 15
744 7241 89
6867 10582 27
11924 1839 16
4646 16793 23
5620 10279 74
741 8544 95
2814 5282 99
13 17514 24
11805 1230 50
12596 17444 69
3228 10226 23
4052 7526 64
13346 19322 26
2704 12659 11
18367 13328 92
7029 12563 63
13964 1111 82
131 2081 8
9632 5780 33
15745 1842 97
4342 17640 66
14680 10547 32
14212 19946 51
7807 19497 8
11298 3630 66
12577 13939 92
17423 12855 23
3535 19129 31
6302 15170 77
224 15159 91
3051 16398 49
7223 2857 83
12565 12822 4
12380 11077 1
3993 19139 42
496 1832 14
9927 4215 55
951 676 85
4226 7648 16
2440 17295 94
15737 11342 80
16189 3840 40
9949 614 50
9879 10021 88
662 580 63
18097 6016 77
13850 18259 54
19932 15782 46
1518 14945 21
3536 17853 56
1644 964 30
5393 11452 14
17943 8542 76
8822 13244 52
6724 4943 76
15112 15945 85
15762 8702 50
1526 1864 56
1745 12620 87
681 4285 80
827 1985 81
15597 5235 66
13354 15760 67
10397 2298 51
15323 7712 29
17716 15665 69
17240 7486 80
9521 17126 13
10774 2642 17
7293 2124 60
13854 12483 1
13335 10458 23
16981 18183 42
11934 10307 7
15429 19092 55
15997 2071 57
8715 18913 49
16568 8678 66
5403 9971 24
11250 6708 26
18248 14304 10
2226 9212 35
4459 6894 1
6951 15759 67
11357 8787 77
12352 1263 31
19142 3242 92
7699 13458 100
7252 18358 81
1356 13159 28
16140 10920 88
11840 14806 20
16066 1699 30
5902 17986 5
19510 8395 54
16344 8839 51
9237 6250 73
18967 4197 18
19322 14730 23
6055 14502 66
13374 13444 58
7368 12222 18
5782 9501 77
9213 8845 17
1241 638 23
13815 124 36
203 19297 11
7070 8304 63
593 9964 49
19641 18414 81
7335 15780 2
19262 396 91
9294 16332 50
423 7831 41
11967 19965 80
14097 1187 70
5032 2954 76
9943 17752 59
15217 14976 4
1242 3443 96
13667 7820 100
18399 17414 40
14866 12091 37
14565 19350 78
14965 11802 57
270 3370 89
12522 16855 78
10012 13075 91
941 10629 66
16282 13073 71
10286 391 20
13773 3947 72
15251 16646 47
10577 8442 89
10693 17731 22
10661 3059 18
15814 12953 30
16671 19975 25
1151 19328 55
19384 17820 60
4713 15735 2
3497 16564 92
4662 10637 85
5752 172 78
1883 5513 29
1987 16390 80
1208 4211 76
16044 12175 81
19547 7583 42
2016 15449 96
1092 4464 19
19975 1994 84
247 11057 14
3474 7618 56
19432 7318 26
17540 1643 56
15283 2291 51
16750 4824 83
2185 13288 93
1991 13139 100
10238 1840 96
2439 17048 50
13164 13874 75
6179 16702 13
16149 6945 21
11771 8211 67
695 2836 57
11952 10090 65
17163 14982 65
10488 19301 24
15949 3625 58
18506 6643 66
13593 11 52
12900 13983 63
15952 18621 39
11317 16237 8
6192 16779 39
14851 5791 71
17554 14843 48
3948 19023 6
4456 19813 96
10921 11817 91
8057 4158 97
546 12739 39
12616 3733 20
3350 8525 15
17543 6644 8
14450 5466 68
7949 12846 66
19497 11281 6
15711 15211 99
241 7431 59
1461 13103 35
4256 2732 99
18531 12186 30
19068 18572 97
18480 12537 99
18190 656 49
9401 14483 35
13077 15292 99
2546 511 6
17410 18286 2
2886 13216 47
6126 7924 94
6422 4742 85
3963 7718 99
360 8070 25
15803 9184 74
19458 18895 80
2244 14363 50
4412 19382 48
5961 388 63
15333 14697 71
17465 19106 42
5325 13765 81
4460 17285 80
14346 19437 96
15990 4358 65
16957 3634 83
19631 3346 14
1651 2534 39
12245 2221 35
6936 17700 7
5563 9767 39
1126 11702 96
8474 16758 41
7385 16448 89
6014 13373 97
16741 18166 54
17369 14272 96
18861 16961 21
10947 15449 64
13828 7595 47
5335 930 25
13761 14876 42
2291 9109 92
1326 1088 45
19717 12707 17
11240 10196 70
1762 7387 77
